property,label,description,example
RO.0002372,has muscle origin,"m has_muscle_origin s iff m is attached_to s, and it is the case that when m contracts, s does not move. The site of the origin tends to be more proximal and have greater mass than what the other end attaches to.",
RO.0002373,has muscle insertion,"m has_muscle_insertion s iff m is attaches_to s, and it is the case that when m contracts, s moves. Insertions are usually connections of muscle via tendon to bone.",
RO.0002374,derived from ancestral fusion of,"x has_fused_element y iff: there exists some z : x has_part z, z homologous_to y, and y is a distinct element, the boundary between x and z is largely fiat",
RO.0002375,in branching relationship with,"A relationship that holds between two material entities in a system of connected structures, where the branching relationship holds based on properties of the connecting network.",
RO.0002376,tributary of,"x tributary_of y if and only if x a channel for the flow of a substance into y, where y is larger than x. If x and y are hydrographic features, then y is the main stem of a river, or a lake or bay, but not the sea or ocean. If x and y are anatomical, then y is a vein.",
RO.0002377,distributary of,"x distributary_of y if and only if x is capable of channeling the flow of a substance to y, where y channels less of the substance than x",
RO.0002378,anabranch of,x anabranch_of y if x is a distributary of y (i.e. it channels a from a larger flow from y) and x ultimately channels the flow back into y.,
RO.0002379,spatially coextensive with,x spatially_coextensive_with y if and inly if x and y have the same location,
RO.0002380,branching part of,x is a branching part of y if and only if x is part of y and x is connected directly or indirectly to the main stem of y,
RO.0002381,main stem of,"x main_stem_of y if y is a branching structure and x is a channel that traces a linear path through y, such that x has higher capacity than any other such path.",
RO.0002382,proper distributary of,x proper_distributary_of y iff x distributary_of y and x does not flow back into y,
RO.0002383,proper tributary of,x proper_tributary_of y iff x tributary_of y and x does not originate from y,
RO.0002384,has developmental potential involving,"x has developmental potential involving y iff x is capable of a developmental process with output y. y may be the successor of x, or may be a different structure in the vicinity (as for example in the case of developmental induction).",
RO.0002385,has potential to developmentally contribute to,x has potential to developmentrally contribute to y iff x developmentally contributes to y or x is capable of developmentally contributing to y,
RO.0002386,has potential to developmentally induce,x has potential to developmentally induce y iff x developmentally induces y or x is capable of developmentally inducing y,
RO.0002387,has potential to develop into,x has the potential to develop into y iff x develops into y or if x is capable of developing into y,
RO.0002388,has potential to directly develop into,x has potential to directly develop into y iff x directly develops into y or x is capable of directly developing into y,
RO.0002400,has direct input,"p has direct input c iff c is a participant in p, c is present at the start of p, and the state of c is modified during p.",
RO.0002404,causally downstream of,inverse of upstream of,
RO.0002405,immediately causally downstream of,,
RO.0002407,indirectly positively regulates,p indirectly positively regulates q iff p is indirectly causally upstream of q and p positively regulates q.,
RO.0002409,indirectly negatively regulates,p indirectly negatively regulates q iff p is indirectly causally upstream of q and p negatively regulates q.,
RO.0002410,causally related to,"relation that links two events, processes, states, or objects such that one event, process, state, or object (a cause) contributes to the production of another event, process, state, or object (an effect) where the cause is partly or wholly responsible for the effect, and the effect is partly or wholly dependent on the cause.",
RO.0002411,causally upstream of,"p is causally upstream of q iff p is causally related to q, the end of p precedes the end of q, and p is not an occurrent part of q.",
RO.0002412,immediately causally upstream of,"p is immediately causally upstream of q iff p is causally upstream of q, and the end of p is coincident with the beginning of q.",
RO.0002413,provides input for,"p provides input for q iff p is immediately causally upstream of q, and there exists some c such that p has_output c and q has_input c.",
RO.0002414,transitively provides input for,transitive form of directly_provides_input_for,
RO.0002418,causally upstream of or within,"p is 'causally upstream or within' q iff p is causally related to q, and the end of p precedes, or is coincident with, the end of q.",
RO.0002424,differs in,,
RO.0002425,differs in attribute of,,
RO.0002426,differs in attribute,,
RO.0002427,causally downstream of or within,inverse of causally upstream of or within,
RO.0002428,involved in regulation of,c involved in regulation of p if c is involved in some p' and p' regulates some p,
RO.0002429,involved in positive regulation of,c involved in regulation of p if c is involved in some p' and p' positively regulates some p,
RO.0002430,involved in negative regulation of,c involved in regulation of p if c is involved in some p' and p' negatively regulates some p,
RO.0002431,involved in or involved in regulation of,c involved in or regulates p if and only if either (i) c is involved in p or (ii) c is involved in regulation of p,
RO.0002432,is active in,"c executes activity in d if and only if c enables p and p occurs_in d.  Assuming no action at a distance by gene products, if a gene product enables (is capable of) a process that occurs in some structure, it must have at least some part in that structure.",
RO.0002433,contributes to morphology of,"p contributes to morphology of w if and only if a change in the morphology of p entails a change in the morphology of w. Examples: every skull contributes to morphology of the head which it is a part of. Counter-example: nuclei do not generally contribute to the morphology of the cell they are part of, as they are buffered by cytoplasm.",
RO.0002434,interacts with,A relationship that holds between two entities in which the processes executed by the two entities are causally connected.,
RO.0002435,genetically interacts with,,
RO.0002436,molecularly interacts with,An interaction relationship in which the two partners are molecular entities that directly physically interact with each other for example via a stable binding interaction or a brief interaction during which one modifies the other.,
RO.0002437,biotically interacts with,An interaction relationship in which at least one of the partners is an organism and the other is either an organism or an abiotic entity with which the organism interacts.,
RO.0002438,trophically interacts with,An interaction relationship in which the partners are related via a feeding relationship.,
RO.0002439,preys on,"An interaction relationship involving a predation process, where the subject kills the target in order to eat it or to feed to siblings, offspring or group members",
RO.0002440,symbiotically interacts with,A biotic interaction in which the two organisms live together in more or less intimate association.,
RO.0002441,commensually interacts with,An interaction relationship between two organisms living together in more or less intimate association in a relationship in which one benefits and the other is unaffected (GO).,
RO.0002442,mutualistically interacts with,An interaction relationship between two organisms living together in more or less intimate association in a relationship in which both organisms benefit from each other (GO).,
RO.0002443,interacts with via parasite-host interaction,An interaction relationship between two organisms living together in more or less intimate association in a relationship in which association is disadvantageous or destructive to one of the organisms (GO).,
RO.0002444,parasite of,A parasite-host relationship where an organism benefits at the expense of another.,
RO.0002445,parasitized by,Inverse of parasite of,
RO.0002446,participates in a abiotic-biotic interaction with,"A biotic interaction relationship in which one partner is an organism and the other partner is inorganic. For example, the relationship between a sponge and the substrate to which is it anchored.",
RO.0002448,directly regulates activity of,"The entity A, immediately upstream of the entity B, has an activity that regulates an activity performed by B. For example, A and B may be gene products and binding of B by A regulates the kinase activity of B.

A and B can be physically interacting but not necessarily. Immediately upstream means there are no intermediate entity between A and B.",
RO.0002449,directly negatively regulates activity of,"The entity A, immediately upstream of the entity B, has an activity that negatively regulates an activity performed by B. 
For example, A and B may be gene products and binding of B by A negatively regulates the kinase activity of B.",
RO.0002450,directly positively regulates activity of,"The entity A, immediately upstream of the entity B, has an activity that positively regulates an activity performed by B. 
For example, A and B may be gene products and binding of B by A positively regulates the kinase activity of B.",
RO.0002451,transmitted by,A relationship that holds between a disease and organism,
RO.0002452,has symptom,A relation that holds between a disease or an organism and a phenotype,
RO.0002453,host of,,
RO.0002454,has host,"X 'has host' y if and only if: x is an organism, y is an organism, and x can live on the surface of or within the body of y",
RO.0002455,pollinates,,
RO.0002456,pollinated by,,
RO.0002457,acquires nutrients from,Inverse of provides nutrients for,
RO.0002458,preyed upon by,inverse of preys on,
RO.0002459,is vector for,,
RO.0002460,has vector,,
RO.0002461,partner in,,
RO.0002462,subject participant in,,
RO.0002463,target participant in,,
RO.0002465,is symbiosis,,
RO.0002466,is commensalism,,
RO.0002467,is mutualism,,
RO.0002468,is parasitism,,
RO.0002469,provides nutrients for,A biotic interaction where a material entity provides nutrition for an organism.,
RO.0002470,eats,A biotic interaction where one organism consumes a material entity through a type of mouth or other oral opening.,
RO.0002471,is eaten by,Inverse of eats,
RO.0002472,is evidence for,"A relationship between a piece of evidence a and some entity b, where b is  an information content entity, material entity or process, and 
the a supports either the existence of b, or the truth value of b.",
RO.0002473,composed primarily of,x composed_primarily_of y if and only if more than half of the mass of x is made from y or units of the same type as y.,
RO.0002476,child nucleus of,"c is a child nucleus of d if and only if c and d are both nuclei and parts of cells c' and d', where c' is derived from d' by mitosis and the genetic material in c is a copy of the generic material in d",
RO.0002477,child nucleus of in hermaphrodite,A child nucleus relationship in which the cells are part of a hermaphroditic organism,
RO.0002478,child nucleus of in male,A child nucleus relationship in which the cells are part of a male organism,
RO.0002479,has part that occurs in,"p has part that occurs in c if and only if there exists some p1, such that p has_part p1, and p1 occurs in c.",
RO.0002480,ubiquitinates,An interaction relation between x and y in which x catalyzes a reaction in which one or more ubiquitin groups are added to y,
RO.0002481,is kinase activity,,
RO.0002482,is ubiquitination,,
RO.0002485,receives input from,,
RO.0002486,sends output to,,
RO.0002487,relation between physical entity and a process or stage,,
RO.0002488,existence starts during,x existence starts during y if and only if the time point at which x starts is after or equivalent to the time point at which y starts and before or equivalent to the time point at which y ends. Formally: x existence starts during y iff α(x) >= α(y) & α(x) <= ω(y).,
RO.0002489,existence starts with,x starts ends with y if and only if the time point at which x starts is equivalent to the time point at which y starts. Formally: x existence starts with y iff α(x) = α(y).,
RO.0002490,existence overlaps,x existence overlaps y if and only if either (a) the start of x is part of y or (b) the end of x is part of y. Formally: x existence starts and ends during y iff (α(x) >= α(y) & α(x) <= ω(y)) OR (ω(x) <= ω(y) & ω(x) >= α(y)),
RO.0002491,existence starts and ends during,x exists during y if and only if: 1) the time point at which x begins to exist is after or equal to the time point at which y begins and 2) the time point at which x ceases to exist is before or equal to the point at which y ends. Formally: x existence starts and ends during y iff α(x) >= α(y) & α(x) <= ω(y) & ω(x) <= ω(y) & ω(x) >= α(y),
RO.0002492,existence ends during,x existence ends during y if and only if the time point at which x ends is before or equivalent to the time point at which y ends and after or equivalent to the point at which y starts. Formally: x existence ends during y iff ω(x) <= ω(y) and ω(x) >= α(y).,
RO.0002493,existence ends with,x existence ends with y if and only if the time point at which x ends is equivalent to the time point at which y ends. Formally: x existence ends with y iff ω(x) = ω(y).,
RO.0002494,transformation of,"x transformation of y if x is the immediate transformation of y, or is linked to y through a chain of transformation relationships",
RO.0002495,immediate transformation of,"x immediate transformation of y iff x immediately succeeds y temporally at a time boundary t, and all of the matter present in x at t is present in y at t, and all the matter in y at t is present in x at t",
RO.0002496,existence starts during or after,x existence starts during or after y if and only if the time point at which x starts is after or equivalent to the time point at which y starts. Formally: x existence starts during or after y iff α (x) >= α (y).,
RO.0002497,existence ends during or before,x existence ends during or before y if and only if the time point at which x ends is before or equivalent to the time point at which y ends.,
RO.0002500,causal agent in process,A relationship between a material entity and a process where the material entity has some causal role that influences the process,
RO.0002501,causal relation between processes,"p is causally related to q if and only if p or any part of p and q or any part of q are linked by a chain of events where each event pair is one where the execution of p influences the execution of q. p may be upstream, downstream, part of, or a container of q.",
RO.0002502,depends on,,
RO.0002503,towards,"q towards e2 if and only if q is a relational quality such that q inheres-in some e, and e != e2 and q is dependent on e2",
RO.0002505,has intermediate,"p has intermediate c if and only if p has parts p1, p2 and p1 has output c, and p2 has input c",
RO.0002506,causal relation between entities,,
RO.0002507,determined by,"s determined by f if and only if s is a type of system, and f is a material entity that is part of s, such that f exerts a strong causal influence on the functioning of s, and the removal of f would cause the collapse of s.",
RO.0002508,determines,inverse of determined by,
RO.0002509,determined by part of,"s 'determined by part of' w if and only if there exists some f such that (1) s 'determined by' f and (2) f part_of w, or f=w.",
RO.0002510,transcribed from,x is transcribed from y if and only if x is synthesized from template y,
RO.0002511,transcribed to,inverse of transcribed from,
RO.0002512,ribosomal translation of,x is the ribosomal translation of y if and only if a ribosome reads x through a series of triplet codon-amino acid adaptor activities (GO:0030533) and produces y,
RO.0002513,ribosomally translates to,inverse of ribosomal translation of,
RO.0002514,sequentially related to,A relation that holds between two entities that have the property of being sequences or having sequences. ,
RO.0002515,sequentially adjacent to,x is sequentially adjacent to y iff x and y do not overlap and if there are no base units intervening between x and y,
RO.0002516,has start sequence,"x has start sequence y if the start of x is identical to the start of y, and x has y as a subsequence",
RO.0002517,is start sequence of,inverse of has start sequence,
RO.0002518,has end sequence,"x has end sequence y if the end of x is identical to the end of y, and x has y as a subsequence",
RO.0002519,is end sequence of,inverse of has end sequence,
RO.0002520,is consecutive sequence of,"x is a consecutive sequence of y iff x has subsequence y, and all the parts of x are made of zero or more repetitions of y or sequences as the same type as y.",
RO.0002521,is sequentially aligned with,x is sequentially aligned with if a significant portion bases of x and y correspond in terms of their base type and their relative ordering,
RO.0002522,bounds sequence of,"x bounds the sequence of y iff the upstream-most part of x is upstream of or coincident with the upstream-most part of y, and the downstream-most part of x is downstream of or coincident with the downstream-most part of y",
RO.0002523,is bound by sequence of,inverse of bounds sequence of,
RO.0002524,has subsequence,x has subsequence y iff all of the sequence parts of y are sequence parts of x,
RO.0002525,is subsequence of,inverse of has subsequence,
RO.0002526,overlaps sequence of,x overlaps the sequence of y if and only if x has a subsequence z and z is a subsequence of y.,
RO.0002527,does not overlap sequence of,x does not overlap the sequence of y if and only if there is no z such that x has a subsequence z and z is a subsequence of y.,
RO.0002528,is upstream of sequence of,inverse of downstream of sequence of,
RO.0002529,is downstream of sequence of,"x is downstream of the sequence of y iff either (1) x and y have sequence units, and all units of x are downstream of all units of y, or (2) x and y are sequence units, and x is either immediately downstream of y, or transitively downstream of y.",
RO.0002530,is immediately downstream of sequence of,"x is immediately downstream of the sequence of y iff either (1) x and y have sequence units, and all units of x are downstream of all units of y, and x is sequentially adjacent to y, or (2) x and y are sequence units, in which case the immediately downstream relation is primitive and defined by context: for DNA bases, y would be adjacent and 5' to y",
RO.0002531,is immediately upstream of sequence of,inverse of immediately downstream of,
RO.0002551,has skeleton,A relation between a segment or subdivision of an organism and the maximal subdivision of material entities that provides structural support for that segment or subdivision.,
RO.0002552,results in ending of,"p results in the end of s if p results in a change of state in s whereby s either ceases to exist, or s becomes functionally impaired or s has its fate committed such that it is put on a path to be degraded.",
RO.0002553,hyperparasite of,x is a hyperparasite of y iff x is a parasite of a parasite of the target organism y,
RO.0002554,hyperparasitized by,inverse of hyperparasite of,
RO.0002555,allelopath of,,
RO.0002556,pathogen of,Inverse of has pathogen,
RO.0002557,has pathogen,A host interaction where the smaller of the two members of a symbiosis causes a disease in the larger member,
RO.0002558,has evidence,inverse of is evidence for,
RO.0002559,causally influenced by,,
RO.0002563,interaction relation helper property,,
RO.0002564,molecular interaction relation helper property,,
RO.0002565,results in movement of,Holds between p and c when p is locomotion process and the outcome of this process is the change of location of c,
RO.0002566,causally influences,"The entity or characteristic A is causally upstream of the entity or characteristic B, A having an effect on B. An entity corresponds to any biological type of entity as long as a mass is measurable. A characteristic corresponds to a particular specificity of an entity (e.g., phenotype, shape, size).",
RO.0002567,biomechanically related to,A relation that holds between elements of a musculoskeletal system or its analogs.,
RO.0002568,has muscle antagonist,"m1 has_muscle_antagonist m2 iff m1 has_muscle_insertion s, m2 has_muscle_insection s, m1 acts in opposition to m2, and m2 is responsible for returning the structure to its initial position.",
RO.0002569,has branching part,inverse of branching part of,
RO.0002570,conduit for,"x is a conduit for y iff y overlaps through the lumen_of of x, and y has parts on either side of the lumen of x.",
RO.0002571,lumen of,x lumen_of y iff x is the space or substance that is part of y and does not cross any of the inner membranes or boundaries of y that is maximal with respect to the volume of the convex hull.,
RO.0002572,luminal space of,s is luminal space of x iff s is lumen_of x and s is an immaterial entity,
RO.0002573,has modifier,A relation that holds between an attribute or a qualifier and another attribute.,
RO.0002574,participates in a biotic-biotic interaction with,,
RO.0002576,skeleton of,inverse of has skeleton,
RO.0002578,directly regulates,p directly regulates q iff p is immediately causally upstream of q and p regulates q.,
RO.0002583,existence starts at end of,holds between x and y if and only if the time point at which x starts is equivalent to the time point at which y ends. Formally: iff α(x) = ω(y).,
RO.0002584,has part structure that is capable of,s 'has part structure that is capable of' p if and only if there exists some part x such that s 'has part' x and x 'capable of' p,
RO.0002585,results in closure of,,
RO.0002586,results in breakdown of,p results in breakdown of c if and only if the execution of p leads to c no longer being present at the end of p,
RO.0002587,results in synthesis of,,
RO.0002588,results in assembly of,,
RO.0002589,results in catabolism of,"p results in catabolism of c if and only if p is a catabolic process, and the execution of p results in c being broken into smaller parts with energy being released.",
RO.0002590,results in disassembly of,,
RO.0002591,results in remodeling of,,
RO.0002592,results in organization of,"p results in organization of c iff p results in the assembly, arrangement of constituent parts, or disassembly of c",
RO.0002593,existence ends at start of,holds between x and y if and only if the time point at which x ends is equivalent to the time point at which y starts. Formally: iff ω(x) = α(y).,
RO.0002595,causal relation between material entity and a process,"A relationship that holds between a material entity and a process in which causality is involved, with either the material entity or some part of the material entity exerting some influence over the process, or the process influencing some aspect of the material entity.",
RO.0002596,capable of regulating,"Holds between c and p if and only if c is capable of some activity a, and a regulates p.",
RO.0002597,capable of negatively regulating,"Holds between c and p if and only if c is capable of some activity a, and a negatively regulates p.",
RO.0002598,capable of positively regulating,"Holds between c and p if and only if c is capable of some activity a, and a positively regulates p.",
RO.0002599,capable of inhibiting or preventing pathological process,"Holds between a material entity c and a pathological process p if and only if c is capable of some activity a, where a inhibits p.",
RO.0002600,capable of upregulating or causing pathological process,"Holds between a material entity c and a pathological process p if and only if c is capable of some activity a, where a negatively regulates p.",
RO.0002606,is substance that treats,"c is a substance that treats d if c is a material entity (such as a small molecule or compound) and d is a pathological process, phenotype or disease, and c is capable of some activity that negative regulates or decreases the magnitude of d.",
RO.0002607,is marker for,"c is marker for d iff the presence or occurrence of d is correlated with the presence of occurrence of c, and the observation of c is used to infer the presence or occurrence of d. Note that this does not imply that c and d are in a direct causal relationship, as it may be the case that there is a third entity e that stands in a direct causal relationship with c and d.",
RO.0002608,process has causal agent,Inverse of 'causal agent in process',
RO.0002610,correlated with,"A relationship that holds between two entities, where the entities exhibit a statistical dependence relationship. The entities may be statistical variables, or they may be other kinds of entities such as diseases, chemical entities or processes.",
RO.0002614,is evidence with support from,A relationship between a piece of evidence and an entity that plays a role in supporting that evidence.,
RO.0002615,has model,Inverse of is-model-of,
RO.0002616,related via evidence or inference to,,
RO.0002618,visits,,
RO.0002619,visited by,,
RO.0002622,visits flowers of,,
RO.0002623,has flowers visited by,,
RO.0002624,lays eggs in,,
RO.0002625,has eggs laid in by,,
RO.0002626,kills,,
RO.0002627,is killed by,,
RO.0002629,directly positively regulates,"p directly positively regulates q iff p is immediately causally upstream of q, and p positively regulates q.",
RO.0002630,directly negatively regulates,"p directly negatively regulates q iff p is immediately causally upstream of q, and p negatively regulates q.",
RO.0002632,ectoparasite of,A sub-relation of parasite-of in which the parasite lives on or in the integumental system of the host,
RO.0002633,has ectoparasite,inverse of ectoparasite of,
RO.0002634,endoparasite of,,
RO.0002635,has endoparasite,,
RO.0002636,mesoparasite of,A sub-relation of parasite-of in which the parasite is partially an endoparasite and partially an ectoparasite,
RO.0002637,has mesoparasite,inverse of mesoparasite of,
RO.0002638,intercellular endoparasite of,A sub-relation of endoparasite-of in which the parasite inhabits the spaces between host cells.,
RO.0002639,has intercellular endoparasite,inverse of intercellular endoparasite of,
RO.0002640,intracellular endoparasite of,A sub-relation of endoparasite-of in which the parasite inhabits host cells.,
RO.0002641,has intracellular endoparasite,inverse of intracellular endoparasite of,
RO.0002801,co-roosts with,"Two or more individuals sharing the same roost site (cave, mine, tree or tree hollow, animal burrow, leaf tent, rock crack, space in man-made structure, etc.). Individuals that are sharing a communal roost may be said to be co-roosting. The roost may be either a day roost where the individuals rest during daytime hours, or a night roost where individuals roost to feed, groom, or rest in between flights and/or foraging bouts.  Communal roosting as thus defined is an umbrella term within which different specialized types -- which are not mutually exclusive -- may be recognized based on taxonomy and the temporal and spatial relationships of the individuals that are co-roosting.",
RO.0002802,reservoir host of,A relation between a host organism and a hosted organism in which the hosted organism naturally occurs in an indefinitely maintained reservoir provided by the host.,
RO.0002803,has reservoir host,inverse of reservoir host of,
RO.0003001,produced by,a produced_by b iff some process that occurs_in b has_output a.,
RO.0003002,represses expression of,Holds between entity A (a transcription factor) and a nucleic acid B if and only if A down-regulates the expression of B. The nucleic acid can be a gene or an mRNA.,
RO.0003003,increases expression of,Holds between entity A (a transcription factor) and nucleic acid B if and only if A up-regulates the expression of B. The nucleic acid can be a gene or mRNA.,
RO.0003301,has role in modeling,"A relation between a biological, experimental, or computational artifact and an entity it is used to study, in virtue of its replicating or approximating features of the studied entity.",
RO.0003302,causes or contributes to condition,"A relationship between an entity (e.g. a genotype, genetic variation, chemical, or environmental exposure) and a condition (a phenotype or disease), where the entity has some causal or contributing role that influences the condition.",
RO.0003303,causes condition,"A relationship between an entity (e.g. a genotype, genetic variation, chemical, or environmental exposure) and a condition (a phenotype or disease), where the entity has some causal role for the condition.",
RO.0003304,contributes to condition,"A relationship between an entity (e.g. a genotype, genetic variation, chemical, or environmental exposure) and a condition (a phenotype or disease), where the entity has some contributing role that influences the condition.",
RO.0003305,contributes to severity of condition,"A relationship between an entity (e.g. a genotype, genetic variation, chemical, or environmental exposure) and a condition (a phenotype or disease), where the entity influences the severity with which a condition manifests in an individual.",
RO.0003306,contributes to frequency of condition,"A relationship between an entity (e.g. a genotype, genetic variation, chemical, or environmental exposure) and a condition (a phenotype or disease), where the entity influences the frequency of the condition in a population.",
RO.0003307,ameliorates condition,"A relationship between an entity (e.g. a genotype, genetic variation, chemical, or environmental exposure) and a condition (a phenotype or disease), where the presence of the entity reduces or eliminates some or all aspects of the condition.",
RO.0003308,correlated with condition,A relationship between an entity and a condition (phenotype or disease) with which it exhibits a statistical dependence relationship.,
RO.0003309,exacerbates condition,"A relationship between an entity (e.g. a chemical, environmental exposure, or some form of genetic variation) and a condition (a phenotype or disease), where the presence of the entity worsens some or all aspects of the condition.",
RO.0003310,condition ameliorated by,"A relationship between a condition (a phenotype or disease) and an entity (e.g. a chemical, environmental exposure, or some form of genetic variation) where some or all aspects of the condition are reduced or eliminated by the presence of the entity.",
RO.0003311,condition exacerbated by,"A relationship between a condition (a phenotype or disease) and an entity (e.g. a chemical, environmental exposure, or some form of genetic variation) where some or all aspects of the condition are worsened by the presence of the entity.",
RO.0004000,condition has genetic basis in,,
RO.0004001,has material basis in gain of function germline mutation in,,
RO.0004002,has material basis in loss of function germline mutation in,,
RO.0004003,has material basis in germline mutation in,,
RO.0004004,has material basis in somatic mutation in,,
RO.0004005,has major susceptibility factor,,
RO.0004006,has partial material basis in germline mutation in,,
RO.0004007,has primary input or output,p 'has primary input ot output' c iff either (a) p 'has primary input' c or (b) p 'has primary output' c.,
RO.0004008,has primary output,"p has primary output c if (a) p has output c and (b) the goal of process is to modify, produce, or transform c.",
RO.0004009,has primary input,"p has primary input c if (a) p has input c and (b) the goal of process is to modify, consume, or transform c.",
RO.0004010,is genetic basis for condition,,
RO.0004011,is causal gain of function germline mutation of in,"Relates a gene to condition, such that a mutation in this gene in a germ cell provides a new function of the corresponding product and that is sufficient to produce the condition and that can be passed on to offspring[modified from orphanet].",
RO.0004012,is causal loss of function germline mutation of in,"Relates a gene to condition, such that a mutation in this gene in a germ cell impairs the function of the corresponding product and that is sufficient to produce the condition and that can be passed on to offspring[modified from orphanet].",
RO.0004013,is causal germline mutation in,"Relates a gene to condition, such that a mutation in this gene is sufficient to produce the condition and that can be passed on to offspring[modified from orphanet].",
RO.0004014,is causal somatic mutation in,"Relates a gene to condition, such that a mutation in this gene is sufficient to produce the condition but that cannot be passed on to offspring[modified from orphanet].",
RO.0004015,is causal susceptibility factor for,"Relates a gene to condition, such that a mutation in this gene predisposes to the development of a condition  and that is necessary but not sufficient to develop the condition[modified from orphanet].",
RO.0004016,is causal germline mutation partially giving rise to,"Relates a gene to condition, such that a mutation in this gene partially contributes to the presentation of this condition[modified from orphanet].",
RO.0004017,realizable has basis in,,
RO.0004018,is basis for realizable,,
RO.0004019,disease has basis in,,
RO.0004020,disease has basis in dysfunction of,A relation that holds between the disease and a material entity where the physical basis of the disease is a disorder of that material entity that affects its function.,
RO.0004021,disease has basis in disruption of,A relation that holds between the disease and a process where the physical basis of the disease disrupts execution of a key biological process.,
RO.0004022,disease has basis in feature,A relation that holds between the disease and a feature (a phenotype or other disease) where the physical basis of the disease is the feature.,
RO.0004023,causal relationship with disease as subject,,
RO.0004024,disease causes disruption of,A relationship between a disease and a process where the disease process disrupts the execution of the process.,
RO.0004025,disease causes dysfunction of,,
RO.0004026,disease has location,A relationship between a disease and an anatomical entity where the disease has one or more features that are located in that entity.,
RO.0004027,disease has inflammation site,A relationship between a disease and an anatomical entity where the disease is triggered by an inflammatory response to stimuli occurring in the anatomical entity,
RO.0004028,realized in response to stimulus,A relationship between a realizable entity R (e.g. function or disposition) and a material entity M where R is realized in response to a process that has an input stimulus of M.,
RO.0004029,disease has feature,"A relationship between a disease and some feature of that disease, where the feature is either a phenotype or an isolated disease.",
RO.0004030,disease arises from alteration in structure,"A relationship between a disease and an anatomical structure where the material basis of the disease is some pathological change in the structure. Anatomical structure includes cellular and sub-cellular entities, such as chromosome and organelles.",
RO.0004031,enables subfunction,"Holds between an entity and an process P where the entity enables some larger compound process, and that larger process has-part P.",
RO.0004032,"acts upstream of or within, positive effect",,
RO.0004033,"acts upstream of or within, negative effect",,
RO.0004034,"acts upstream of, positive effect","c 'acts upstream of, positive effect' p if c is enables f, and f is causally upstream of p, and the direction of f is positive",
RO.0004035,"acts upstream of, negative effect","c 'acts upstream of, negative effect' p if c is enables f, and f is causally upstream of p, and the direction of f is negative",
RO.0004046,"causally upstream of or within, negative effect",,
RO.0004047,"causally upstream of or within, positive effect",,
RO.0004096,DEPRECATED inheres in,,
RO.0004097,DEPRECATED bearer of,,
RO.0007000,has driver,"A relation between two entities, in which one of the entities is any natural or human-influenced factor that directly or indirectly causes a change in the other entity.",
RO.0007001,has disease driver,"A relation between an entity and a disease of a host, in which the entity is not part of the host itself, and the condition results in pathological processes.",
RO.0008501,epiphyte of,An interaction relationship wherein a plant or algae is living on the outside surface of another plant.,
RO.0008502,has epiphyte,inverse of epiphyte of,
RO.0008503,kleptoparasite of,"A sub-relation of parasite of in which a parasite steals resources from another organism, usually food or nest material",
RO.0008504,kleptoparasitized by,inverse of kleptoparasite of,
RO.0008505,creates habitat for,An interaction relationship wherein one organism creates a structure or environment that is lived in by another organism.,
RO.0008506,ecologically co-occurs with,An interaction relationship describing organisms that often occur together at the same time and space or in the same environment.,
RO.0008507,lays eggs on,An interaction relationship in which organism a lays eggs on the outside surface of organism b. Organism b is neither helped nor harmed in the process of egg laying or incubation.,
RO.0008508,has eggs laid on by,inverse of lays eggs on,
RO.0008509,has roost,"x 'has roost' y if and only if: x is an organism, y is a habitat, and y can support rest behaviors x.",
RO.0009001,has substance added,"""has substance added"" is a relation existing between a (physical) entity and a substance in which the entity has had the substance added to it at some point in time.",
RO.0009002,has substance removed,"""has substance removed"" is a relation existing between two physical entities in which the first entity has had the second entity (a substance) removed from it at some point in time.",
RO.0009003,immersed in,"""immersed in"" is a relation between a (physical) entity and a fluid substance in which the entity is wholely or substantially surrounded by the substance.",
RO.0009004,has consumer,'has consumer' is a relation between a material entity and an organism in which the former can normally be digested or otherwise absorbed by the latter without immediate or persistent ill effect.,
RO.0009005,has primary substance added,'has primary substance added' indicates that an entity has had the given substance added to it in a proportion greater than any other added substance.,
RO.0009006,assay measures characteristic,"A relation between an assay and a characteristic, in which the assay generates a data item which is a measure of a characteristic.",
RO.0009007,characteristic measured by assay,Inverse of 'assay measures characteristic',
RO.0009501,realized in response to,"r 'realized in response to' s iff, r is a realizable (e.g. a plant trait such as responsivity to drought), s is an environmental stimulus (a process), and s directly causes the realization of r.",
RO.0010001,generically depends on,A generically dependent continuant *b* generically depends on an independent continuant *c* at time *t* means: there inheres in *c* a specifically deendent continuant which concretizes *b* at *t*.,
RO.0010002,is carrier of,*b* is carrier of *c* at time *t* if and only if *c* *g-depends on* *b* at *t*,
RO.0011002,regulates activity of,"The entity A has an activity that regulates an activity of the entity B. For example, A and B are gene products where the catalytic activity of A regulates the kinase activity of B.",
RO.0011003,regulates quantity of,The entity A has an activity that regulates the quantity or abundance or concentration of the entity B.,
RO.0011004,indirectly regulates activity of,The entity A is not immediately upstream of the entity B but A has an activity that regulates an activity performed by B.,
RO.0011007,decreases by repression quantity of,"The entity A has an activity that down-regulates by repression the quantity of B. The down-regulation is due to A having an effect on an intermediate entity (typically a DNA or mRNA element) which can produce B.

For example, protein A (transcription factor) indirectly decreases by repression the quantity of protein B (gene product) if and only if A negatively regulates the process of transcription or translation of a nucleic acid element that produces B.",
