property,label,description
http://purl.obolibrary.org/obo/RO_0002301,results in developmental regression of,
http://purl.obolibrary.org/obo/RO_0002302,is treated by substance,Inverse of 'is substance that treats'
http://purl.obolibrary.org/obo/RO_0002303,has habitat,"x 'has habitat' y if and only if: x is an organism, y is a habitat, and y can sustain and allow the growth of a population of xs."
http://purl.obolibrary.org/obo/RO_0002304,"causally upstream of, positive effect","p is causally upstream of, positive effect q iff p is casually upstream of q, and the execution of p is required for the execution of q."
http://purl.obolibrary.org/obo/RO_0002305,"causally upstream of, negative effect","p is causally upstream of, negative effect q iff p is casually upstream of q, and the execution of p decreases the execution of q."
http://purl.obolibrary.org/obo/RO_0002309,has exposure stimulus,"A relationship between an exposure event or process and any agent, stimulus, activity, or event that causally effects an organism and interacts with an exposure receptor during an exposure event."
http://purl.obolibrary.org/obo/RO_0002312,evolutionary variant of,
http://purl.obolibrary.org/obo/RO_0002313,transports or maintains localization of,Holds between p and c when p is a localization process (localization covers maintenance of localization as well as its establishment)  and the outcome of this process is to regulate the localization of c.
http://purl.obolibrary.org/obo/RO_0002314,characteristic of part of,q characteristic of part of w if and only if there exists some p such that q inheres in p and p part of w.
http://purl.obolibrary.org/obo/RO_0002315,results in acquisition of features of,The relationship that links a specified entity with the process that results in an unspecified entity acquiring the features and characteristics of the specified entity
http://purl.obolibrary.org/obo/RO_0002320,evolutionarily related to,A relationship that holds via some environmental process
http://purl.obolibrary.org/obo/RO_0002321,ecologically related to,A relationship that is mediated in some way by the environment or environmental feature (ENVO:00002297)
http://purl.obolibrary.org/obo/RO_0002322,confers advantage in,
http://purl.obolibrary.org/obo/RO_0002323,mereotopologically related to,A mereological relationship or a topological relationship
http://purl.obolibrary.org/obo/RO_0002324,developmentally related to,A relationship that holds between entities participating in some developmental process (GO:0032502)
http://purl.obolibrary.org/obo/RO_0002325,colocalizes with,a colocalizes_with b if and only if  a is transiently or peripherally associated with b[GO].
http://purl.obolibrary.org/obo/RO_0002326,contributes to,
http://purl.obolibrary.org/obo/RO_0002327,enables,c enables p iff c is capable of p and c acts to execute p.
http://purl.obolibrary.org/obo/RO_0002328,functionally related to,"A grouping relationship for any relationship directly involving a function, or that holds because of a function of one of the related entities."
http://purl.obolibrary.org/obo/RO_0002329,part of structure that is capable of,"this relation holds between c and p when c is part of some c', and c' is capable of p."
http://purl.obolibrary.org/obo/RO_0002330,genomically related to,"holds between two entities when some genome-level process such as gene expression is involved. This includes transcriptional, spliceosomal events. These relations can be used between either macromolecule entities (such as regions of nucleic acid) or between their abstract informational counterparts."
http://purl.obolibrary.org/obo/RO_0002331,involved in,"c involved_in p if and only if c enables some process p', and p' is part of p"
http://purl.obolibrary.org/obo/RO_0002332,regulates levels of,p regulates levels of c if p regulates some amount (PATO:0000070) of c
http://purl.obolibrary.org/obo/RO_0002333,enabled by,inverse of enables
http://purl.obolibrary.org/obo/RO_0002334,regulated by,inverse of regulates
http://purl.obolibrary.org/obo/RO_0002335,negatively regulated by,inverse of negatively regulates
http://purl.obolibrary.org/obo/RO_0002336,positively regulated by,inverse of positively regulates
http://purl.obolibrary.org/obo/RO_0002337,related via localization to,A relationship that holds via some process of localization
http://purl.obolibrary.org/obo/RO_0002338,has target start location,This relationship holds between p and l when p is a transport or localization process in which the outcome is to move some cargo c from some initial location l to some destination.
http://purl.obolibrary.org/obo/RO_0002339,has target end location,This relationship holds between p and l when p is a transport or localization process in which the outcome is to move some cargo c from a an initial location to some destination l.
http://purl.obolibrary.org/obo/RO_0002340,imports,"Holds between p and c when p is a transportation or localization process and the outcome of this process is to move c to a destination that is part of some s, where the start location of c is part of the region that surrounds s."
http://purl.obolibrary.org/obo/RO_0002341,results in transport along,"Holds between p and l when p is a transportation or localization process and the outcome of this process is to move c from one location to another, and the route taken by c follows a path that is aligned_with l "
http://purl.obolibrary.org/obo/RO_0002342,results in transport across,"Holds between p and m when p is a transportation or localization process and the outcome of this process is to move c from one location to another, and the route taken by c follows a path that crosses m."
http://purl.obolibrary.org/obo/RO_0002343,results in growth of,
http://purl.obolibrary.org/obo/RO_0002344,results in transport to from or in,
http://purl.obolibrary.org/obo/RO_0002345,exports,"Holds between p and c when p is a transportation or localization process and the outcome of this process is to move c to a destination that is part of some s, where the end location of c is part of the region that surrounds s."
http://purl.obolibrary.org/obo/RO_0002348,results in commitment to,p 'results in commitment to' c if and only if p is a developmental process and c is a cell and p results in the state of c changing such that is can only develop into a single cell type.
http://purl.obolibrary.org/obo/RO_0002349,results in determination of,"p 'results in determination of' c if and only if p is a developmental process and c is a cell and p results in the state of c changing to be determined. Once a cell becomes determined, it becomes committed to differentiate down a particular pathway regardless of its environment."
http://purl.obolibrary.org/obo/RO_0002350,member of,is member of is a mereological relation between a item and a collection.
http://purl.obolibrary.org/obo/RO_0002351,has member,has member is a mereological relation between a collection and an item.
http://purl.obolibrary.org/obo/RO_0002352,input of,inverse of has input
http://purl.obolibrary.org/obo/RO_0002353,output of,inverse of has output
http://purl.obolibrary.org/obo/RO_0002354,formed as result of,
http://purl.obolibrary.org/obo/RO_0002355,results in structural organization of,A relationship between a process and an anatomical entity such that the process contributes to the act of creating the structural organization of the anatomical entity.
http://purl.obolibrary.org/obo/RO_0002356,results in specification of,"The relationship linking a cell and its participation in a process that results in the fate of the cell being specified. Once specification has taken place, a cell will be committed to differentiate down a specific pathway if left in its normal environment. "
http://purl.obolibrary.org/obo/RO_0002357,results in developmental induction of,"p results in developmental induction of c if and only if p is a collection of cell-cell signaling processes that signal to a neighbouring tissue that is the precursor of the mature c, where the signaling results in the commitment to cell types necessary for the formation of c."
http://purl.obolibrary.org/obo/RO_0002360,has dendrite location,
http://purl.obolibrary.org/obo/RO_0002371,attached to,"a is attached to b if and only if a and b are discrete objects or object parts, and there are physical connections between a and b such that a force pulling a will move b, or a force pulling b will move a"
http://purl.obolibrary.org/obo/RO_0002372,has muscle origin,"m has_muscle_origin s iff m is attached_to s, and it is the case that when m contracts, s does not move. The site of the origin tends to be more proximal and have greater mass than what the other end attaches to."
http://purl.obolibrary.org/obo/RO_0002373,has muscle insertion,"m has_muscle_insertion s iff m is attaches_to s, and it is the case that when m contracts, s moves. Insertions are usually connections of muscle via tendon to bone."
http://purl.obolibrary.org/obo/RO_0002374,derived from ancestral fusion of,"x has_fused_element y iff: there exists some z : x has_part z, z homologous_to y, and y is a distinct element, the boundary between x and z is largely fiat"
http://purl.obolibrary.org/obo/RO_0002375,in branching relationship with,"A relationship that holds between two material entities in a system of connected structures, where the branching relationship holds based on properties of the connecting network."
http://purl.obolibrary.org/obo/RO_0002376,tributary of,"x tributary_of y if and only if x a channel for the flow of a substance into y, where y is larger than x. If x and y are hydrographic features, then y is the main stem of a river, or a lake or bay, but not the sea or ocean. If x and y are anatomical, then y is a vein."
http://purl.obolibrary.org/obo/RO_0002377,distributary of,"x distributary_of y if and only if x is capable of channeling the flow of a substance to y, where y channels less of the substance than x"
http://purl.obolibrary.org/obo/RO_0002378,anabranch of,x anabranch_of y if x is a distributary of y (i.e. it channels a from a larger flow from y) and x ultimately channels the flow back into y.
http://purl.obolibrary.org/obo/RO_0002379,spatially coextensive with,x spatially_coextensive_with y if and inly if x and y have the same location
http://purl.obolibrary.org/obo/RO_0002380,branching part of,x is a branching part of y if and only if x is part of y and x is connected directly or indirectly to the main stem of y
http://purl.obolibrary.org/obo/RO_0002381,main stem of,"x main_stem_of y if y is a branching structure and x is a channel that traces a linear path through y, such that x has higher capacity than any other such path."
http://purl.obolibrary.org/obo/RO_0002382,proper distributary of,x proper_distributary_of y iff x distributary_of y and x does not flow back into y
http://purl.obolibrary.org/obo/RO_0002383,proper tributary of,x proper_tributary_of y iff x tributary_of y and x does not originate from y
http://purl.obolibrary.org/obo/RO_0002384,has developmental potential involving,"x has developmental potential involving y iff x is capable of a developmental process with output y. y may be the successor of x, or may be a different structure in the vicinity (as for example in the case of developmental induction)."
http://purl.obolibrary.org/obo/RO_0002385,has potential to developmentally contribute to,x has potential to developmentrally contribute to y iff x developmentally contributes to y or x is capable of developmentally contributing to y
http://purl.obolibrary.org/obo/RO_0002386,has potential to developmentally induce,x has potential to developmentally induce y iff x developmentally induces y or x is capable of developmentally inducing y
http://purl.obolibrary.org/obo/RO_0002387,has potential to develop into,x has the potential to develop into y iff x develops into y or if x is capable of developing into y
http://purl.obolibrary.org/obo/RO_0002388,has potential to directly develop into,x has potential to directly develop into y iff x directly develops into y or x is capable of directly developing into y
http://purl.obolibrary.org/obo/RO_0002400,has direct input,"p has direct input c iff c is a participant in p, c is present at the start of p, and the state of c is modified during p."
http://purl.obolibrary.org/obo/RO_0002401,obsolete has indirect input,
http://purl.obolibrary.org/obo/RO_0002402,obsolete has direct output,"p has direct input c iff c is a participanti n p, c is present at the end of p, and c is not present at the beginning of c. "
http://purl.obolibrary.org/obo/RO_0002403,obsolete has indirect output,
http://purl.obolibrary.org/obo/RO_0002404,causally downstream of,inverse of upstream of
http://purl.obolibrary.org/obo/RO_0002405,immediately causally downstream of,
http://purl.obolibrary.org/obo/RO_0002406,obsolete directly activates,
http://purl.obolibrary.org/obo/RO_0002407,indirectly positively regulates,p indirectly positively regulates q iff p is indirectly causally upstream of q and p positively regulates q.
http://purl.obolibrary.org/obo/RO_0002408,obsolete directly inhibits,
http://purl.obolibrary.org/obo/RO_0002409,indirectly negatively regulates,p indirectly negatively regulates q iff p is indirectly causally upstream of q and p negatively regulates q.
http://purl.obolibrary.org/obo/RO_0002410,causally related to,"relation that links two events, processes, states, or objects such that one event, process, state, or object (a cause) contributes to the production of another event, process, state, or object (an effect) where the cause is partly or wholly responsible for the effect, and the effect is partly or wholly dependent on the cause."
http://purl.obolibrary.org/obo/RO_0002411,causally upstream of,"p is causally upstream of q iff p is causally related to q, the end of p precedes the end of q, and p is not an occurrent part of q."
http://purl.obolibrary.org/obo/RO_0002412,immediately causally upstream of,"p is immediately causally upstream of q iff p is causally upstream of q, and the end of p is coincident with the beginning of q."
http://purl.obolibrary.org/obo/RO_0002413,provides input for,"p provides input for q iff p is immediately causally upstream of q, and there exists some c such that p has_output c and q has_input c."
http://purl.obolibrary.org/obo/RO_0002414,transitively provides input for,transitive form of directly_provides_input_for
http://purl.obolibrary.org/obo/RO_0002418,causally upstream of or within,"p is 'causally upstream or within' q iff p is causally related to q, and the end of p precedes, or is coincident with, the end of q."
http://purl.obolibrary.org/obo/RO_0002424,differs in,
http://purl.obolibrary.org/obo/RO_0002425,differs in attribute of,
http://purl.obolibrary.org/obo/RO_0002426,differs in attribute,
http://purl.obolibrary.org/obo/RO_0002427,causally downstream of or within,inverse of causally upstream of or within
http://purl.obolibrary.org/obo/RO_0002428,involved in regulation of,c involved in regulation of p if c is involved in some p' and p' regulates some p
http://purl.obolibrary.org/obo/RO_0002429,involved in positive regulation of,c involved in regulation of p if c is involved in some p' and p' positively regulates some p
http://purl.obolibrary.org/obo/RO_0002430,involved in negative regulation of,c involved in regulation of p if c is involved in some p' and p' negatively regulates some p
http://purl.obolibrary.org/obo/RO_0002431,involved in or involved in regulation of,c involved in or regulates p if and only if either (i) c is involved in p or (ii) c is involved in regulation of p
http://purl.obolibrary.org/obo/RO_0002432,is active in,"c executes activity in d if and only if c enables p and p occurs_in d.  Assuming no action at a distance by gene products, if a gene product enables (is capable of) a process that occurs in some structure, it must have at least some part in that structure."
http://purl.obolibrary.org/obo/RO_0002433,contributes to morphology of,"p contributes to morphology of w if and only if a change in the morphology of p entails a change in the morphology of w. Examples: every skull contributes to morphology of the head which it is a part of. Counter-example: nuclei do not generally contribute to the morphology of the cell they are part of, as they are buffered by cytoplasm."
http://purl.obolibrary.org/obo/RO_0002434,interacts with,A relationship that holds between two entities in which the processes executed by the two entities are causally connected.
http://purl.obolibrary.org/obo/RO_0002435,genetically interacts with,
http://purl.obolibrary.org/obo/RO_0002436,molecularly interacts with,An interaction relationship in which the two partners are molecular entities that directly physically interact with each other for example via a stable binding interaction or a brief interaction during which one modifies the other.
http://purl.obolibrary.org/obo/RO_0002437,biotically interacts with,An interaction relationship in which at least one of the partners is an organism and the other is either an organism or an abiotic entity with which the organism interacts.
http://purl.obolibrary.org/obo/RO_0002438,trophically interacts with,An interaction relationship in which the partners are related via a feeding relationship.
http://purl.obolibrary.org/obo/RO_0002439,preys on,"An interaction relationship involving a predation process, where the subject kills the target in order to eat it or to feed to siblings, offspring or group members"
http://purl.obolibrary.org/obo/RO_0002440,symbiotically interacts with,A biotic interaction in which the two organisms live together in more or less intimate association.
http://purl.obolibrary.org/obo/RO_0002441,commensually interacts with,An interaction relationship between two organisms living together in more or less intimate association in a relationship in which one benefits and the other is unaffected (GO).
http://purl.obolibrary.org/obo/RO_0002442,mutualistically interacts with,An interaction relationship between two organisms living together in more or less intimate association in a relationship in which both organisms benefit from each other (GO).
http://purl.obolibrary.org/obo/RO_0002443,interacts with via parasite-host interaction,An interaction relationship between two organisms living together in more or less intimate association in a relationship in which association is disadvantageous or destructive to one of the organisms (GO).
http://purl.obolibrary.org/obo/RO_0002444,parasite of,A parasite-host relationship where an organism benefits at the expense of another.
http://purl.obolibrary.org/obo/RO_0002445,parasitized by,Inverse of parasite of
http://purl.obolibrary.org/obo/RO_0002446,participates in a abiotic-biotic interaction with,"A biotic interaction relationship in which one partner is an organism and the other partner is inorganic. For example, the relationship between a sponge and the substrate to which is it anchored."
http://purl.obolibrary.org/obo/RO_0002447,phosphorylates,
http://purl.obolibrary.org/obo/RO_0002448,directly regulates activity of,"The entity A, immediately upstream of the entity B, has an activity that regulates an activity performed by B. For example, A and B may be gene products and binding of B by A regulates the kinase activity of B.

A and B can be physically interacting but not necessarily. Immediately upstream means there are no intermediate entity between A and B."
http://purl.obolibrary.org/obo/RO_0002449,directly negatively regulates activity of,"The entity A, immediately upstream of the entity B, has an activity that negatively regulates an activity performed by B. 
For example, A and B may be gene products and binding of B by A negatively regulates the kinase activity of B."
http://purl.obolibrary.org/obo/RO_0002450,directly positively regulates activity of,"The entity A, immediately upstream of the entity B, has an activity that positively regulates an activity performed by B. 
For example, A and B may be gene products and binding of B by A positively regulates the kinase activity of B."
http://purl.obolibrary.org/obo/RO_0002451,transmitted by,A relationship that holds between a disease and organism
http://purl.obolibrary.org/obo/RO_0002452,has symptom,A relation that holds between a disease or an organism and a phenotype
http://purl.obolibrary.org/obo/RO_0002453,host of,
http://purl.obolibrary.org/obo/RO_0002454,has host,"X 'has host' y if and only if: x is an organism, y is an organism, and x can live on the surface of or within the body of y"
http://purl.obolibrary.org/obo/RO_0002455,pollinates,
http://purl.obolibrary.org/obo/RO_0002456,pollinated by,
http://purl.obolibrary.org/obo/RO_0002457,acquires nutrients from,Inverse of provides nutrients for
http://purl.obolibrary.org/obo/RO_0002458,preyed upon by,inverse of preys on
http://purl.obolibrary.org/obo/RO_0002459,is vector for,
http://purl.obolibrary.org/obo/RO_0002460,has vector,
http://purl.obolibrary.org/obo/RO_0002461,partner in,
http://purl.obolibrary.org/obo/RO_0002462,subject participant in,
http://purl.obolibrary.org/obo/RO_0002463,target participant in,
http://purl.obolibrary.org/obo/RO_0002464,helper property (not for use in curation),
http://purl.obolibrary.org/obo/RO_0002465,is symbiosis,
http://purl.obolibrary.org/obo/RO_0002466,is commensalism,
http://purl.obolibrary.org/obo/RO_0002467,is mutualism,
http://purl.obolibrary.org/obo/RO_0002468,is parasitism,
http://purl.obolibrary.org/obo/RO_0002469,provides nutrients for,A biotic interaction where a material entity provides nutrition for an organism.
http://purl.obolibrary.org/obo/RO_0002470,eats,A biotic interaction where one organism consumes a material entity through a type of mouth or other oral opening.
http://purl.obolibrary.org/obo/RO_0002471,is eaten by,Inverse of eats
http://purl.obolibrary.org/obo/RO_0002472,is evidence for,"A relationship between a piece of evidence a and some entity b, where b is  an information content entity, material entity or process, and 
the a supports either the existence of b, or the truth value of b."
http://purl.obolibrary.org/obo/RO_0002473,composed primarily of,x composed_primarily_of y if and only if more than half of the mass of x is made from y or units of the same type as y.
http://purl.obolibrary.org/obo/RO_0002476,child nucleus of,"c is a child nucleus of d if and only if c and d are both nuclei and parts of cells c' and d', where c' is derived from d' by mitosis and the genetic material in c is a copy of the generic material in d"
http://purl.obolibrary.org/obo/RO_0002477,child nucleus of in hermaphrodite,A child nucleus relationship in which the cells are part of a hermaphroditic organism
http://purl.obolibrary.org/obo/RO_0002478,child nucleus of in male,A child nucleus relationship in which the cells are part of a male organism
http://purl.obolibrary.org/obo/RO_0002479,has part that occurs in,"p has part that occurs in c if and only if there exists some p1, such that p has_part p1, and p1 occurs in c."
http://purl.obolibrary.org/obo/RO_0002480,ubiquitinates,An interaction relation between x and y in which x catalyzes a reaction in which one or more ubiquitin groups are added to y
http://purl.obolibrary.org/obo/RO_0002481,is kinase activity,
http://purl.obolibrary.org/obo/RO_0002482,is ubiquitination,
http://purl.obolibrary.org/obo/RO_0002485,receives input from,
http://purl.obolibrary.org/obo/RO_0002486,sends output to,
http://purl.obolibrary.org/obo/RO_0002487,relation between physical entity and a process or stage,
http://purl.obolibrary.org/obo/RO_0002488,existence starts during,x existence starts during y if and only if the time point at which x starts is after or equivalent to the time point at which y starts and before or equivalent to the time point at which y ends. Formally: x existence starts during y iff α(x) >= α(y) & α(x) <= ω(y).
http://purl.obolibrary.org/obo/RO_0002489,existence starts with,x starts ends with y if and only if the time point at which x starts is equivalent to the time point at which y starts. Formally: x existence starts with y iff α(x) = α(y).
http://purl.obolibrary.org/obo/RO_0002490,existence overlaps,x existence overlaps y if and only if either (a) the start of x is part of y or (b) the end of x is part of y. Formally: x existence starts and ends during y iff (α(x) >= α(y) & α(x) <= ω(y)) OR (ω(x) <= ω(y) & ω(x) >= α(y))
http://purl.obolibrary.org/obo/RO_0002491,existence starts and ends during,x exists during y if and only if: 1) the time point at which x begins to exist is after or equal to the time point at which y begins and 2) the time point at which x ceases to exist is before or equal to the point at which y ends. Formally: x existence starts and ends during y iff α(x) >= α(y) & α(x) <= ω(y) & ω(x) <= ω(y) & ω(x) >= α(y)
http://purl.obolibrary.org/obo/RO_0002492,existence ends during,x existence ends during y if and only if the time point at which x ends is before or equivalent to the time point at which y ends and after or equivalent to the point at which y starts. Formally: x existence ends during y iff ω(x) <= ω(y) and ω(x) >= α(y).
http://purl.obolibrary.org/obo/RO_0002493,existence ends with,x existence ends with y if and only if the time point at which x ends is equivalent to the time point at which y ends. Formally: x existence ends with y iff ω(x) = ω(y).
http://purl.obolibrary.org/obo/RO_0002494,transformation of,"x transformation of y if x is the immediate transformation of y, or is linked to y through a chain of transformation relationships"
http://purl.obolibrary.org/obo/RO_0002495,immediate transformation of,"x immediate transformation of y iff x immediately succeeds y temporally at a time boundary t, and all of the matter present in x at t is present in y at t, and all the matter in y at t is present in x at t"
http://purl.obolibrary.org/obo/RO_0002496,existence starts during or after,x existence starts during or after y if and only if the time point at which x starts is after or equivalent to the time point at which y starts. Formally: x existence starts during or after y iff α (x) >= α (y).
http://purl.obolibrary.org/obo/RO_0002497,existence ends during or before,x existence ends during or before y if and only if the time point at which x ends is before or equivalent to the time point at which y ends.
http://purl.obolibrary.org/obo/RO_0002500,causal agent in process,A relationship between a material entity and a process where the material entity has some causal role that influences the process
http://purl.obolibrary.org/obo/RO_0002501,causal relation between processes,"p is causally related to q if and only if p or any part of p and q or any part of q are linked by a chain of events where each event pair is one where the execution of p influences the execution of q. p may be upstream, downstream, part of, or a container of q."
http://purl.obolibrary.org/obo/RO_0002502,depends on,
http://purl.obolibrary.org/obo/RO_0002503,towards,"q towards e2 if and only if q is a relational quality such that q inheres-in some e, and e != e2 and q is dependent on e2"
http://purl.obolibrary.org/obo/RO_0002505,has intermediate,"p has intermediate c if and only if p has parts p1, p2 and p1 has output c, and p2 has input c"
http://purl.obolibrary.org/obo/RO_0002506,causal relation between entities,
http://purl.obolibrary.org/obo/RO_0002507,determined by,"s determined by f if and only if s is a type of system, and f is a material entity that is part of s, such that f exerts a strong causal influence on the functioning of s, and the removal of f would cause the collapse of s."
http://purl.obolibrary.org/obo/RO_0002508,determines,inverse of determined by
http://purl.obolibrary.org/obo/RO_0002509,determined by part of,"s 'determined by part of' w if and only if there exists some f such that (1) s 'determined by' f and (2) f part_of w, or f=w."
http://purl.obolibrary.org/obo/RO_0002510,transcribed from,x is transcribed from y if and only if x is synthesized from template y
http://purl.obolibrary.org/obo/RO_0002511,transcribed to,inverse of transcribed from
http://purl.obolibrary.org/obo/RO_0002512,ribosomal translation of,x is the ribosomal translation of y if and only if a ribosome reads x through a series of triplet codon-amino acid adaptor activities (GO:0030533) and produces y
http://purl.obolibrary.org/obo/RO_0002513,ribosomally translates to,inverse of ribosomal translation of
http://purl.obolibrary.org/obo/RO_0002514,sequentially related to,A relation that holds between two entities that have the property of being sequences or having sequences. 
http://purl.obolibrary.org/obo/RO_0002515,sequentially adjacent to,x is sequentially adjacent to y iff x and y do not overlap and if there are no base units intervening between x and y
http://purl.obolibrary.org/obo/RO_0002516,has start sequence,"x has start sequence y if the start of x is identical to the start of y, and x has y as a subsequence"
http://purl.obolibrary.org/obo/RO_0002517,is start sequence of,inverse of has start sequence
http://purl.obolibrary.org/obo/RO_0002518,has end sequence,"x has end sequence y if the end of x is identical to the end of y, and x has y as a subsequence"
http://purl.obolibrary.org/obo/RO_0002519,is end sequence of,inverse of has end sequence
http://purl.obolibrary.org/obo/RO_0002520,is consecutive sequence of,"x is a consecutive sequence of y iff x has subsequence y, and all the parts of x are made of zero or more repetitions of y or sequences as the same type as y."
http://purl.obolibrary.org/obo/RO_0002521,is sequentially aligned with,x is sequentially aligned with if a significant portion bases of x and y correspond in terms of their base type and their relative ordering
http://purl.obolibrary.org/obo/RO_0002522,bounds sequence of,"x bounds the sequence of y iff the upstream-most part of x is upstream of or coincident with the upstream-most part of y, and the downstream-most part of x is downstream of or coincident with the downstream-most part of y"
http://purl.obolibrary.org/obo/RO_0002523,is bound by sequence of,inverse of bounds sequence of
http://purl.obolibrary.org/obo/RO_0002524,has subsequence,x has subsequence y iff all of the sequence parts of y are sequence parts of x
http://purl.obolibrary.org/obo/RO_0002525,is subsequence of,inverse of has subsequence
http://purl.obolibrary.org/obo/RO_0002526,overlaps sequence of,x overlaps the sequence of y if and only if x has a subsequence z and z is a subsequence of y.
http://purl.obolibrary.org/obo/RO_0002527,does not overlap sequence of,x does not overlap the sequence of y if and only if there is no z such that x has a subsequence z and z is a subsequence of y.
http://purl.obolibrary.org/obo/RO_0002528,is upstream of sequence of,inverse of downstream of sequence of
http://purl.obolibrary.org/obo/RO_0002529,is downstream of sequence of,"x is downstream of the sequence of y iff either (1) x and y have sequence units, and all units of x are downstream of all units of y, or (2) x and y are sequence units, and x is either immediately downstream of y, or transitively downstream of y."
http://purl.obolibrary.org/obo/RO_0002530,is immediately downstream of sequence of,"x is immediately downstream of the sequence of y iff either (1) x and y have sequence units, and all units of x are downstream of all units of y, and x is sequentially adjacent to y, or (2) x and y are sequence units, in which case the immediately downstream relation is primitive and defined by context: for DNA bases, y would be adjacent and 5' to y"
http://purl.obolibrary.org/obo/RO_0002531,is immediately upstream of sequence of,inverse of immediately downstream of
http://purl.obolibrary.org/obo/RO_0002551,has skeleton,A relation between a segment or subdivision of an organism and the maximal subdivision of material entities that provides structural support for that segment or subdivision.
http://purl.obolibrary.org/obo/RO_0002552,results in ending of,"p results in the end of s if p results in a change of state in s whereby s either ceases to exist, or s becomes functionally impaired or s has its fate committed such that it is put on a path to be degraded."
http://purl.obolibrary.org/obo/RO_0002553,hyperparasite of,x is a hyperparasite of y iff x is a parasite of a parasite of the target organism y
http://purl.obolibrary.org/obo/RO_0002554,hyperparasitized by,inverse of hyperparasite of
http://purl.obolibrary.org/obo/RO_0002555,allelopath of,
http://purl.obolibrary.org/obo/RO_0002556,pathogen of,Inverse of has pathogen
http://purl.obolibrary.org/obo/RO_0002557,has pathogen,A host interaction where the smaller of the two members of a symbiosis causes a disease in the larger member
http://purl.obolibrary.org/obo/RO_0002558,has evidence,inverse of is evidence for
http://purl.obolibrary.org/obo/RO_0002559,causally influenced by,
http://purl.obolibrary.org/obo/RO_0002563,interaction relation helper property,
http://purl.obolibrary.org/obo/RO_0002564,molecular interaction relation helper property,
http://purl.obolibrary.org/obo/RO_0002565,results in movement of,Holds between p and c when p is locomotion process and the outcome of this process is the change of location of c
http://purl.obolibrary.org/obo/RO_0002566,causally influences,"The entity or characteristic A is causally upstream of the entity or characteristic B, A having an effect on B. An entity corresponds to any biological type of entity as long as a mass is measurable. A characteristic corresponds to a particular specificity of an entity (e.g., phenotype, shape, size)."
http://purl.obolibrary.org/obo/RO_0002567,biomechanically related to,A relation that holds between elements of a musculoskeletal system or its analogs.
http://purl.obolibrary.org/obo/RO_0002568,has muscle antagonist,"m1 has_muscle_antagonist m2 iff m1 has_muscle_insertion s, m2 has_muscle_insection s, m1 acts in opposition to m2, and m2 is responsible for returning the structure to its initial position."
http://purl.obolibrary.org/obo/RO_0002569,has branching part,inverse of branching part of
http://purl.obolibrary.org/obo/RO_0002570,conduit for,"x is a conduit for y iff y overlaps through the lumen_of of x, and y has parts on either side of the lumen of x."
http://purl.obolibrary.org/obo/RO_0002571,lumen of,x lumen_of y iff x is the space or substance that is part of y and does not cross any of the inner membranes or boundaries of y that is maximal with respect to the volume of the convex hull.
http://purl.obolibrary.org/obo/RO_0002572,luminal space of,s is luminal space of x iff s is lumen_of x and s is an immaterial entity
http://purl.obolibrary.org/obo/RO_0002573,has modifier,A relation that holds between an attribute or a qualifier and another attribute.
http://purl.obolibrary.org/obo/RO_0002574,participates in a biotic-biotic interaction with,
http://purl.obolibrary.org/obo/RO_0002576,skeleton of,inverse of has skeleton
http://purl.obolibrary.org/obo/RO_0002578,directly regulates,p directly regulates q iff p is immediately causally upstream of q and p regulates q.
http://purl.obolibrary.org/obo/RO_0002583,existence starts at end of,holds between x and y if and only if the time point at which x starts is equivalent to the time point at which y ends. Formally: iff α(x) = ω(y).
http://purl.obolibrary.org/obo/RO_0002584,has part structure that is capable of,s 'has part structure that is capable of' p if and only if there exists some part x such that s 'has part' x and x 'capable of' p
http://purl.obolibrary.org/obo/RO_0002585,results in closure of,
http://purl.obolibrary.org/obo/RO_0002586,results in breakdown of,p results in breakdown of c if and only if the execution of p leads to c no longer being present at the end of p
http://purl.obolibrary.org/obo/RO_0002587,results in synthesis of,
http://purl.obolibrary.org/obo/RO_0002588,results in assembly of,
http://purl.obolibrary.org/obo/RO_0002589,results in catabolism of,"p results in catabolism of c if and only if p is a catabolic process, and the execution of p results in c being broken into smaller parts with energy being released."
http://purl.obolibrary.org/obo/RO_0002590,results in disassembly of,
http://purl.obolibrary.org/obo/RO_0002591,results in remodeling of,
http://purl.obolibrary.org/obo/RO_0002592,results in organization of,"p results in organization of c iff p results in the assembly, arrangement of constituent parts, or disassembly of c"
http://purl.obolibrary.org/obo/RO_0002593,existence ends at start of,holds between x and y if and only if the time point at which x ends is equivalent to the time point at which y starts. Formally: iff ω(x) = α(y).
http://purl.obolibrary.org/obo/RO_0002595,causal relation between material entity and a process,"A relationship that holds between a material entity and a process in which causality is involved, with either the material entity or some part of the material entity exerting some influence over the process, or the process influencing some aspect of the material entity."
http://purl.obolibrary.org/obo/RO_0002596,capable of regulating,"Holds between c and p if and only if c is capable of some activity a, and a regulates p."
http://purl.obolibrary.org/obo/RO_0002597,capable of negatively regulating,"Holds between c and p if and only if c is capable of some activity a, and a negatively regulates p."
http://purl.obolibrary.org/obo/RO_0002598,capable of positively regulating,"Holds between c and p if and only if c is capable of some activity a, and a positively regulates p."
http://purl.obolibrary.org/obo/RO_0002599,capable of inhibiting or preventing pathological process,"Holds between a material entity c and a pathological process p if and only if c is capable of some activity a, where a inhibits p."
